Trade History Report,,,,,,,,,,,,,,
Name:,,,testdemobu,,,,,,,,,,,
Account:,,,"272716800 (USD, Exness-MT5Trial14, demo, Hedge)",,,,,,,,,,,
Company:,,,Exness Technologies Ltd,,,,,,,,,,,
Date:,,,2025.10.31 22:51,,,,,,,,,,,
Positions,,,,,,,,,,,,,,
Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit,,
Floating P/L:,,,0.00,,,Margin Level:,,,0.00%,,,,,
Equity:,,,81 502.02,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Total Net Profit:,,,-18 497.98,Gross Profit:,,,12 591.03,Gross Loss:,,,-31 089.01,,,
Profit Factor:,,, 0.40,Expected Payoff:,,,-1 233.20,,,,,,,
Recovery Factor:,,,- 1.00,Sharpe Ratio:,,,- 0.43,,,,,,,
Balance Drawdown:,,,,,,,,,,,,,,
Balance Drawdown Absolute:,,,18 497.98,Balance Drawdown Maximal:,,,18 497.98 (18.50%),Balance Drawdown Relative:,,,18.50% (18 497.98),,,
Total Trades:,,, 15,Short Trades (won %):,,,10 (30.00%),Long Trades (won %):,,,5 (0.00%),,,
,,,,Profit Trades (% of total):,,,3 (20.00%),Loss Trades (% of total):,,,12 (80.00%),,,
,,,,Largest profit trade:,,,4 278.30,Largest loss trade:,,,-3 159.42,,,
,,,,Average profit trade:,,,4 197.01,Average loss trade:,,,-2 590.75,,,
,,,,Maximum consecutive wins ($):,,,2 (8 405.58),Maximum consecutive losses ($):,,,5 (-13 466.80),,,
,,,,Maximal consecutive profit (count):,,,8 405.58 (2),Maximal consecutive loss (count):,,,-13 466.80 (5),,,
,,,,Average consecutive wins:,,, 2,Average consecutive losses:,,, 4,,,
