type,entry_price,stop_loss,take_profit,position_size,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl_points,pnl_currency,exit_reason
SELL,1991.46,1994.738278521458,1984.9034429570843,30.79,1984.9034429570843,2024-02-14 01:45:00,closed,False,False,0,1984.9034429570843,2024-02-14 17:00:00,6.556557042915756,201.87639135137613,SL/TP
BUY,2027.89,2024.7294375847532,2034.2111248304939,33.86,2034.2111248304939,2024-02-20 15:00:00,closed,False,False,0,2024.7294375847532,2024-02-20 22:00:00,-3.1605624152468863,-107.01664338025957,SL/TP
BUY,2027.58,2023.2271270584436,2036.2857458831124,24.58,2036.2857458831124,2024-02-20 18:15:00,closed,False,False,0,2023.2271270584436,2024-02-21 02:00:00,-4.35287294155637,-106.99361690345557,SL/TP
BUY,2028.8,2026.2518176360072,2033.8963647279852,41.15,2033.8963647279852,2024-02-21 05:00:00,closed,False,False,0,2026.2518176360072,2024-02-21 10:30:00,-2.548182363992737,-104.85770427830113,SL/TP
BUY,2031.33,2028.6920370681253,2036.6059258637495,39.36,2036.6059258637495,2024-02-22 09:45:00,closed,False,False,0,2028.6920370681253,2024-02-22 11:30:00,-2.637962931874654,-103.83022099858637,SL/TP
SELL,2018.79,2022.0229468735258,2012.3241062529485,31.79,2012.3241062529485,2024-02-23 11:00:00,closed,False,False,0,2022.0229468735258,2024-02-23 12:45:00,-3.2329468735258615,-102.77538110938714,SL/TP
BUY,2034.72,2031.3962534221548,2041.3674931556905,30.61,2041.3674931556905,2024-02-26 01:15:00,closed,False,False,0,2031.3962534221548,2024-02-26 02:30:00,-3.3237465778452133,-101.73988274784197,SL/TP
BUY,2033.39,2031.1107540847056,2037.9484918305893,44.2,2037.9484918305893,2024-02-27 05:45:00,closed,False,False,0,2037.9484918305893,2024-02-27 10:30:00,4.558491830589219,201.4853389120435,SL/TP
BUY,2034.81,2032.7318542959656,2038.9662914080686,48.47,2038.9662914080686,2024-02-27 09:00:00,closed,False,False,0,2038.9662914080686,2024-02-27 10:30:00,4.156291408068682,201.45544454908904,SL/TP
BUY,2034.89,2032.4567335097943,2039.7565329804117,43.06,2039.7565329804117,2024-02-29 03:00:00,closed,False,False,0,2032.4567335097943,2024-02-29 12:15:00,-2.433266490205824,-104.77645506826279,SL/TP
BUY,2033.15,2029.3733605737996,2040.7032788524014,27.74,2040.7032788524014,2024-02-28 19:30:00,closed,False,False,0,2029.3733605737996,2024-02-29 13:45:00,-3.776639426200518,-104.76397768280236,SL/TP
BUY,2045.76,2040.8528280981845,2055.5743438036307,20.92,2055.5743438036307,2024-02-29 19:45:00,closed,False,False,0,2040.8528280981845,2024-03-01 10:30:00,-4.907171901815445,-102.65803618597913,SL/TP
BUY,2044.8,2040.8416414829583,2052.7167170340836,25.94,2052.7167170340836,2024-02-29 22:00:00,closed,False,False,0,2040.8416414829583,2024-03-01 10:30:00,-3.958358517041688,-102.67981993206139,SL/TP
BUY,2053.84,2047.1782172081691,2067.163565583662,15.1,2067.163565583662,2024-03-01 14:15:00,closed,False,False,0,2047.1782172081691,2024-03-01 16:45:00,-6.661782791831001,-100.59292015664812,SL/TP
BUY,2085.37,2085.87,2108.9399255729627,8.45,2108.9399255729627,2024-03-01 20:00:00,closed,True,False,0,2108.9399255729627,2024-03-04 17:45:00,23.569925572962802,199.16587109153565,SL/TP
