type,entry_price,stop_loss,take_profit,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl,exit_reason
SELL,3340.67,3340.17,3282.67,3282.67,2025-08-15 10:07:00,closed,True,False,0,3340.17,2025-08-18 03:21:00,0.5,SL/TP
SELL,3341.58,3341.08,3283.58,3283.58,2025-08-15 10:35:00,closed,True,False,0,3341.08,2025-08-18 03:21:00,0.5,SL/TP
SELL,3341.6,3341.1,3283.6,3283.6,2025-08-15 11:14:00,closed,True,False,0,3341.1,2025-08-18 03:21:00,0.5,SL/TP
SELL,3332.88,3332.38,3274.88,3274.88,2025-08-19 04:35:00,closed,True,False,0,3332.38,2025-08-20 14:56:00,0.5,SL/TP
SELL,3333.24,3332.74,3275.24,3275.24,2025-08-19 04:25:00,closed,True,False,0,3332.74,2025-08-20 14:58:00,0.5,SL/TP
SELL,3333.87,3333.37,3275.87,3275.87,2025-08-19 02:00:00,closed,True,False,0,3333.37,2025-08-20 15:03:00,0.5,SL/TP
SELL,3333.99,3333.49,3275.99,3275.99,2025-08-19 04:23:00,closed,True,False,0,3333.49,2025-08-20 15:03:00,0.5,SL/TP
SELL,3334.64,3334.14,3276.64,3276.64,2025-08-19 04:00:00,closed,True,False,0,3334.14,2025-08-20 15:04:00,0.5,SL/TP
SELL,3336.86,3336.36,3278.86,3278.86,2025-08-21 15:25:00,closed,True,False,0,3336.36,2025-08-22 17:00:00,0.5,SL/TP
BUY,3341.26,3341.76,3399.26,3399.26,2025-08-21 17:00:00,closed,True,False,0,3399.26,2025-08-28 02:46:00,58.0,SL/TP
BUY,3339.56,3340.06,3397.56,3397.56,2025-08-21 17:04:00,closed,True,False,0,3397.56,2025-08-27 19:48:00,58.0,SL/TP
BUY,3341.28,3341.78,3399.28,3399.28,2025-08-21 17:05:00,closed,True,False,0,3399.28,2025-08-28 02:46:00,58.0,SL/TP
BUY,3342.06,3342.56,3400.06,3400.06,2025-08-21 17:06:00,closed,True,False,0,3400.06,2025-08-28 11:41:00,58.0,SL/TP
BUY,3365.78,3366.28,3423.78,3423.78,2025-08-25 13:55:00,closed,True,False,0,3366.28,2025-08-25 22:51:00,0.5,SL/TP
BUY,3367.36,3367.86,3425.36,3425.36,2025-08-26 03:13:00,closed,True,False,0,3367.86,2025-08-26 10:21:00,0.5,SL/TP
BUY,3373.61,3374.11,3431.61,3431.61,2025-08-26 10:32:00,closed,True,False,0,3374.11,2025-08-27 07:52:00,0.5,SL/TP
BUY,3339.56,3340.06,3397.56,3397.56,2025-08-21 17:04:00,closed,True,False,0,3397.56,2025-08-27 19:48:00,58.0,SL/TP
BUY,3341.26,3341.76,3399.26,3399.26,2025-08-21 17:00:00,closed,True,False,0,3399.26,2025-08-28 02:46:00,58.0,SL/TP
BUY,3341.28,3341.78,3399.28,3399.28,2025-08-21 17:05:00,closed,True,False,0,3399.28,2025-08-28 02:46:00,58.0,SL/TP
BUY,3342.06,3342.56,3400.06,3400.06,2025-08-21 17:06:00,closed,True,False,0,3400.06,2025-08-28 11:41:00,58.0,SL/TP
BUY,3395.29,3395.79,3453.29,3453.29,2025-08-28 13:09:00,closed,True,False,0,3395.79,2025-08-28 16:06:00,0.5,SL/TP
BUY,3382.29,3382.79,3440.29,3440.29,2025-08-27 11:01:00,closed,True,False,0,3440.29,2025-08-29 17:59:00,58.0,SL/TP
BUY,3391.63,3392.13,3449.63,3449.63,2025-08-28 06:04:00,closed,True,False,0,3449.63,2025-08-29 20:02:00,58.0,SL/TP
BUY,3392.45,3392.95,3450.45,3450.45,2025-08-28 06:10:00,closed,True,False,0,3450.45,2025-09-01 01:31:00,58.0,SL/TP
BUY,3392.25,3392.75,3450.25,3450.25,2025-08-28 06:13:00,closed,True,False,0,3450.25,2025-09-01 01:31:00,58.0,SL/TP
BUY,3411.69,3412.19,3469.69,3469.69,2025-08-29 09:01:00,closed,True,False,0,3469.69,2025-09-01 05:08:00,58.0,SL/TP
BUY,3392.45,3392.95,3450.45,3450.45,2025-08-28 06:10:00,closed,True,False,0,3450.45,2025-09-01 01:31:00,58.0,SL/TP
BUY,3392.25,3392.75,3450.25,3450.25,2025-08-28 06:13:00,closed,True,False,0,3450.25,2025-09-01 01:31:00,58.0,SL/TP
BUY,3411.69,3412.19,3469.69,3469.69,2025-08-29 09:01:00,closed,True,False,0,3469.69,2025-09-01 05:08:00,58.0,SL/TP
BUY,3483.7,3484.2,3541.7,3541.7,2025-09-02 14:40:00,closed,True,False,0,3484.2,2025-09-02 15:18:00,0.5,SL/TP
BUY,3484.23,3484.73,3542.23,3542.23,2025-09-02 13:47:00,closed,True,False,0,3542.23,2025-09-03 03:24:00,58.0,SL/TP
