type,entry_price,stop_loss,take_profit,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl,exit_reason
BUY,1861.74,1823.74,1919.74,1919.74,2021-11-17 13:45:00,closed,False,False,0,1823.74,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1862.86,1824.86,1920.86,1920.86,2021-11-17 17:45:00,closed,False,False,0,1824.86,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1866.31,1828.31,1924.31,1924.31,2021-11-17 18:45:00,closed,False,False,0,1828.31,2021-11-22 16:00:00,-38.0,SL/TP
BUY,1864.04,1826.04,1922.04,1922.04,2021-11-17 21:45:00,closed,False,False,0,1826.04,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1864.81,1826.81,1922.81,1922.81,2021-11-18 15:30:00,closed,False,False,0,1826.81,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1866.31,1828.31,1924.31,1924.31,2021-11-17 18:45:00,closed,False,False,0,1828.31,2021-11-22 16:00:00,-38.0,SL/TP
BUY,1861.74,1823.74,1919.74,1919.74,2021-11-17 13:45:00,closed,False,False,0,1823.74,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1862.86,1824.86,1920.86,1920.86,2021-11-17 17:45:00,closed,False,False,0,1824.86,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1864.04,1826.04,1922.04,1922.04,2021-11-17 21:45:00,closed,False,False,0,1826.04,2021-11-22 16:15:00,-38.0,SL/TP
BUY,1864.81,1826.81,1922.81,1922.81,2021-11-18 15:30:00,closed,False,False,0,1826.81,2021-11-22 16:15:00,-38.0,SL/TP
SELL,1798.29,1797.79,1740.29,1740.29,2021-11-23 11:15:00,closed,True,False,0,1797.79,2021-11-26 05:00:00,0.5,SL/TP
SELL,1800.98,1800.48,1742.98,1742.98,2021-11-23 10:45:00,closed,True,False,0,1800.48,2021-11-26 08:30:00,0.5,SL/TP
SELL,1805.57,1805.07,1747.57,1747.57,2021-11-22 23:30:00,closed,True,False,0,1805.07,2021-11-26 09:45:00,0.5,SL/TP
SELL,1806.03,1805.53,1748.03,1748.03,2021-11-23 08:00:00,closed,True,False,0,1805.53,2021-11-26 09:45:00,0.5,SL/TP
SELL,1783.98,1783.48,1725.98,1725.98,2021-11-23 20:15:00,closed,True,False,0,1783.48,2021-11-30 18:00:00,0.5,SL/TP
SELL,1785.65,1785.15,1727.65,1727.65,2021-11-26 19:45:00,closed,True,False,0,1785.15,2021-12-01 07:45:00,0.5,SL/TP
SELL,1792.75,1792.25,1734.75,1734.75,2021-11-29 03:00:00,closed,True,False,0,1792.25,2021-11-30 07:30:00,0.5,SL/TP
SELL,1783.98,1783.48,1725.98,1725.98,2021-11-23 20:15:00,closed,True,False,0,1783.48,2021-11-30 18:00:00,0.5,SL/TP
SELL,1783.73,1783.23,1725.73,1725.73,2021-11-29 20:15:00,closed,True,False,0,1783.23,2021-11-30 18:00:00,0.5,SL/TP
SELL,1785.65,1785.15,1727.65,1727.65,2021-11-26 19:45:00,closed,True,False,0,1785.15,2021-12-01 07:45:00,0.5,SL/TP
SELL,1785.3,1784.8,1727.3,1727.3,2021-11-29 16:15:00,closed,True,False,0,1784.8,2021-12-01 07:45:00,0.5,SL/TP
SELL,1792.51,1792.01,1734.51,1734.51,2021-11-30 15:15:00,closed,True,False,0,1792.01,2021-12-01 07:45:00,0.5,SL/TP
SELL,1773.56,1773.06,1715.56,1715.56,2021-11-30 23:30:00,closed,True,False,0,1773.06,2021-12-03 05:00:00,0.5,SL/TP
SELL,1775.71,1775.21,1717.71,1717.71,2021-12-02 07:30:00,closed,True,False,0,1775.21,2021-12-03 07:30:00,0.5,SL/TP
SELL,1776.66,1776.16,1718.66,1718.66,2021-12-02 06:45:00,closed,True,False,0,1776.16,2021-12-03 07:45:00,0.5,SL/TP
SELL,1781.82,1781.32,1723.82,1723.82,2021-12-01 20:30:00,closed,True,False,0,1781.32,2021-12-03 19:00:00,0.5,SL/TP
SELL,1771.72,1771.22,1713.72,1713.72,2021-11-30 19:00:00,closed,True,False,0,1771.22,2021-12-15 22:00:00,0.5,SL/TP
SELL,1770.92,1770.42,1712.92,1712.92,2021-12-03 16:45:00,closed,True,False,0,1770.42,2021-12-15 21:45:00,0.5,SL/TP
SELL,1770.3,1769.8,1712.3,1712.3,2021-12-03 17:15:00,closed,True,False,0,1769.8,2021-12-15 21:45:00,0.5,SL/TP
SELL,1771.72,1771.22,1713.72,1713.72,2021-11-30 19:00:00,closed,True,False,0,1771.22,2021-12-15 22:00:00,0.5,SL/TP
SELL,1770.92,1770.42,1712.92,1712.92,2021-12-03 16:45:00,closed,True,False,0,1770.42,2021-12-15 21:45:00,0.5,SL/TP
SELL,1770.3,1769.8,1712.3,1712.3,2021-12-03 17:15:00,closed,True,False,0,1769.8,2021-12-15 21:45:00,0.5,SL/TP
SELL,1779.34,1778.84,1721.34,1721.34,2021-12-06 14:15:00,closed,True,False,0,1778.84,2021-12-15 22:30:00,0.5,SL/TP
SELL,1779.0,1778.5,1721.0,1721.0,2021-12-06 15:45:00,closed,True,False,0,1778.5,2021-12-15 22:15:00,0.5,SL/TP
SELL,1770.92,1770.42,1712.92,1712.92,2021-12-03 16:45:00,closed,True,False,0,1770.42,2021-12-15 21:45:00,0.5,SL/TP
SELL,1770.3,1769.8,1712.3,1712.3,2021-12-03 17:15:00,closed,True,False,0,1769.8,2021-12-15 21:45:00,0.5,SL/TP
SELL,1771.72,1771.22,1713.72,1713.72,2021-11-30 19:00:00,closed,True,False,0,1771.22,2021-12-15 22:00:00,0.5,SL/TP
SELL,1779.0,1778.5,1721.0,1721.0,2021-12-06 15:45:00,closed,True,False,0,1778.5,2021-12-15 22:15:00,0.5,SL/TP
SELL,1779.34,1778.84,1721.34,1721.34,2021-12-06 14:15:00,closed,True,False,0,1778.84,2021-12-15 22:30:00,0.5,SL/TP
BUY,1802.76,1803.26,1860.76,1860.76,2021-12-17 06:45:00,closed,True,False,0,1803.26,2021-12-17 18:00:00,0.5,SL/TP
BUY,1786.25,1786.75,1844.25,1844.25,2021-12-16 12:00:00,closed,True,False,0,1786.75,2021-12-21 17:30:00,0.5,SL/TP
BUY,1788.96,1789.46,1846.96,1846.96,2021-12-16 15:00:00,closed,True,False,0,1789.46,2021-12-20 22:00:00,0.5,SL/TP
BUY,1797.61,1798.11,1855.61,1855.61,2021-12-16 18:15:00,closed,True,False,0,1798.11,2021-12-20 00:00:00,0.5,SL/TP
BUY,1797.28,1797.78,1855.28,1855.28,2021-12-16 19:45:00,closed,True,False,0,1797.78,2021-12-20 10:15:00,0.5,SL/TP
BUY,1797.61,1798.11,1855.61,1855.61,2021-12-16 18:15:00,closed,True,False,0,1798.11,2021-12-20 00:00:00,0.5,SL/TP
BUY,1797.28,1797.78,1855.28,1855.28,2021-12-16 19:45:00,closed,True,False,0,1797.78,2021-12-20 10:15:00,0.5,SL/TP
BUY,1788.96,1789.46,1846.96,1846.96,2021-12-16 15:00:00,closed,True,False,0,1789.46,2021-12-20 22:00:00,0.5,SL/TP
BUY,1786.25,1786.75,1844.25,1844.25,2021-12-16 12:00:00,closed,True,False,0,1786.75,2021-12-21 17:30:00,0.5,SL/TP
BUY,1802.79,1803.29,1860.79,1860.79,2021-12-20 07:00:00,closed,True,False,0,1803.29,2021-12-29 10:00:00,0.5,SL/TP
SELL,1788.59,1826.59,1730.59,1730.59,2021-12-20 22:45:00,closed,False,False,0,1826.59,2021-12-31 15:30:00,-38.0,SL/TP
BUY,1797.14,1797.64,1855.14,1855.14,2021-12-21 13:00:00,closed,True,False,0,1797.64,2021-12-29 12:30:00,0.5,SL/TP
BUY,1797.87,1798.37,1855.87,1855.87,2021-12-21 13:45:00,closed,True,False,0,1798.37,2021-12-29 12:30:00,0.5,SL/TP
SELL,1785.61,1823.61,1727.61,1727.61,2021-12-21 18:15:00,closed,False,False,0,1823.61,2021-12-31 15:15:00,-38.0,SL/TP
BUY,1802.79,1803.29,1860.79,1860.79,2021-12-20 07:00:00,closed,True,False,0,1803.29,2021-12-29 10:00:00,0.5,SL/TP
BUY,1797.14,1797.64,1855.14,1855.14,2021-12-21 13:00:00,closed,True,False,0,1797.64,2021-12-29 12:30:00,0.5,SL/TP
BUY,1797.87,1798.37,1855.87,1855.87,2021-12-21 13:45:00,closed,True,False,0,1798.37,2021-12-29 12:30:00,0.5,SL/TP
SELL,1785.61,1823.61,1727.61,1727.61,2021-12-21 18:15:00,closed,False,False,0,1823.61,2021-12-31 15:15:00,-38.0,SL/TP
SELL,1788.59,1826.59,1730.59,1730.59,2021-12-20 22:45:00,closed,False,False,0,1826.59,2021-12-31 15:30:00,-38.0,SL/TP
