type,entry_price,stop_loss,take_profit,position_size,initial_tp,atr_at_entry,entry_time,status,breakeven_applied,tp_extended,trailing_steps,sl_reason,trade_id,original_position_size,tier,partial_closes,peak_profit_runner,dd_multiplier,consecutive_losses_at_entry,circuit_breaker_active,session_name,session_multiplier,exit_price,exit_time,pnl,pnl_currency,exit_reason
BUY,4146.302,4143.302,4149.342379659412,0.11,4149.342379659412,,2025-10-14 18:36:00,closed,False,False,0,Initial,e06e1a85-684b-4f86-a3b7-e2e258338974,0.11,0,[],0.0,1.0,0,False,ADX_Override (55.5),1.0,4148.103,2025-10-14 18:43:00,1.7010000000000218,18.71100000000024,Candlestick Reversal
BUY,4143.479,4140.479,4157.143591082176,0.03,4157.143591082176,,2025-10-14 22:05:00,closed,False,False,0,Initial,36c25c83-e66c-4cd7-adb7-f554d2e81c2d,0.11,0,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.03, 'price': 4149.479}]",0.0,1.0,0,False,ADX_Override (67.3),1.0,4149.479,2025-10-14 22:10:00,5.899999999999636,17.69999999999891,Partial Close Tier 1 (at Initial TP)
BUY,4143.479,4143.979,4149.479,0.08,4157.143591082176,,2025-10-14 22:05:00,closed,False,False,0,BE after Tier 1 (at Initial TP),36c25c83-e66c-4cd7-adb7-f554d2e81c2d,0.11,1,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.03, 'price': 4149.479}]",0.0,1.0,0,False,ADX_Override (67.3),1.0,4149.479,2025-10-14 22:10:00,5.899999999999636,47.19999999999709,Take Profit
BUY,4196.935,4192.320261215206,4219.916477569588,0.02,4219.916477569588,,2025-10-15 14:00:00,closed,False,False,0,Initial,c28dca58-6739-4cd0-bb88-9b0f4290c599,0.08,0,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.02, 'price': 4206.164477569589}]",0.0,1.0,0,False,ADX_Override (77.5),1.0,4206.164477569589,2025-10-15 14:07:00,9.129477569587834,18.25895513917567,Partial Close Tier 1 (at Initial TP)
BUY,4196.935,4197.435,4206.164477569589,0.06,4219.916477569588,,2025-10-15 14:00:00,closed,False,False,0,BE after Tier 1 (at Initial TP),c28dca58-6739-4cd0-bb88-9b0f4290c599,0.08,1,"[{'tier': 'Tier 1 (at Initial TP)', 'size': 0.02, 'price': 4206.164477569589}]",0.0,1.0,0,False,ADX_Override (77.5),1.0,4206.164477569589,2025-10-15 14:07:00,9.129477569587834,54.776865417527,Take Profit
BUY,4200.019,4197.014957068578,4211.247085862844,0.13,4211.247085862844,,2025-10-15 14:45:00,closed,False,False,0,Initial,1fd487ed-55ee-4e3e-8e7a-1c418fd0fa82,0.13,0,[],0.0,1.0,0,False,ADX_Override (78.6),1.0,4197.014957068578,2025-10-15 14:51:00,-3.104042931422555,-40.35255810849321,Stop Loss
BUY,4193.828,4190.828,4199.166830145297,0.06,4199.166830145297,,2025-10-15 16:40:00,closed,False,False,0,Initial,c9fdde0e-9f0f-4a23-94d2-6847d97540d1,0.06,0,[],0.0,1.0,0,False,Default_Hours,0.3,4194.765,2025-10-15 16:45:00,0.8369999999995343,5.021999999997206,Candlestick Reversal
BUY,4199.475,4196.475,4203.3138817222925,0.12,4203.3138817222925,,2025-10-15 18:40:00,closed,False,False,0,Initial,66944532-b428-4543-9915-5999e7735b10,0.12,0,[],0.0,1.0,0,False,ADX_Override (44.6),1.0,4197.221,2025-10-15 18:45:00,-2.3540000000011787,-28.248000000014144,Candlestick Reversal
BUY,4228.078,4225.078,4238.991951402283,0.1,4238.991951402283,,2025-10-16 07:40:00,closed,False,False,0,Initial,bc470b72-52b2-4b36-9e44-134039bc4e41,0.1,0,[],0.0,0.8,0,False,ADX_Override (43.1),1.0,4229.3,2025-10-16 07:52:00,1.1219999999993888,11.219999999993888,Candlestick Reversal
BUY,4241.098,4238.098,4243.617995215321,0.12,4243.617995215321,,2025-10-16 12:00:00,closed,False,False,0,Initial,cec20e81-898f-4b69-b8bc-77000918b9cb,0.12,0,[],0.0,1.0,0,False,ADX_Override (73.2),1.0,4243.617995215321,2025-10-16 12:09:00,2.4199952153203412,29.03994258384409,Take Profit
